Название игры	Истинные значения	Предсказанные значения	Отношение
tales from the borderlands: episode 1-4 (2014) pc | repack от xatab	36119	46548	1.2887399983388244
bloodstained: ritual of the night	86322	48355	1.7851721642022542
the medium	94543	48121	1.9646931693023835
dreamfall chapters: books 1-5 (2014) pc | repack от xatab	41963	46733	1.113671567809737
the room 4: old sins [codex] (2021) pc | лицензия	50543	29062	1.7391438992498796
the dungeon of naheulbeuk: the amulet of chaos	40926	45671	1.115940966622685
unravel two (2018) pc | repack by xatab	55738	50165	1.1110933918070367
f1 2016 (2017) pc | repack от xatab	31302	44331	1.4162353843204907
pandemic train (2023)	24373	27234	1.1173839904812704
moviehouse – the film studio tycoon (2023)	12501	27437	2.19478441724662
pathologic 2 (v.1.5.29823) (2019) pc | repack от xatab	69788	56899	1.2265241919893144
gylt (2023)	19978	27278	1.36540194213635
nier replicant ver.1.22474487139... [build 7396468 + dlc] (2021) pc | repack от decepticon	26407	35548	1.346158215624645
youtubers life (2017) pc | лицензия	46536	34240	1.3591121495327103
