Название игры	Истинные значения	Предсказанные значения	Отношение
drake hollow	23019	41416	1.7992093487988183
in sound mind - deluxe edition [gog] (2021)	35020	21328	1.641972993248312
undermine (2020) pc | лицензия	50191	29302	1.712886492389598
resident evil 5 - gold edition (2009) pc | лицензия	33456	39445	1.1790112386417981
survival & horror: hangman's rope	19530	28075	1.437532002048131
ghost of a tale {v 7.91} (seithcg) (rus/eng/multi6) [repack] by xatab	46185	43833	1.0536582027239751
gears of war v.1.0.3340.131 [1с] (2007) pc | лицензия	57328	41932	1.3671658876275876
dragon age: origins - ultimate edition (2009) pc | лицензия	71717	29022	2.471125353180346
jump king v.g1.06 (44368) [gog] (2019)	9408	19587	2.081951530612245
the ball (2010) pc | лицензия	21963	30623	1.3942995037107864
a quiet place: the road ahead v.1.0.0 build 45412.11492 [папка игры] (2024)	51583	34631	1.4895036239207646
desperados iii	98096	47685	2.057166823948831
teenage mutant ninja turtles the cowabunga collection (2022)	29620	31058	1.0485482781904119
homeseek (2023)	42290	23703	1.7841623423195376
deus ex goty edition v.1.112fm (revision 1.6.1.0) (45326) [gog] (2000)	31806	22732	1.3991729720218196
marz tactical base defense [v20190502] (2019)  repack от xatab	28324	47305	1.670138398531281
webbed v.1.04b (51339) [gog] (2021)	11635	23622	2.0302535453373443
deus ex: mankind divided digital deluxe edition	70544	49120	1.436156351791531
jade empire special edition	50193	51638	1.0287888749427212
company of heroes 3 (2023)	27308	33597	1.2302988135344954
60 seconds! reatomized [steam] (2015-2019)	14902	27634	1.854381962152731
the elder scrolls v: skyrim vr	53169	62367	1.1729955425153755
gish (2004) pc | лицензия	18241	25604	1.4036511156186613
scythe digital edition [gog]	35656	25674	1.3887980057645868
atom rpg - dilogy (2020-2021) pc | repack от decepticon	16728	28330	1.6935676709708274
